date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:19:32	146839/146839	---MCZ	200	added ('OK')	application/json	date:Mon,%2023%20Mar%202026%2008:19:31%20GMT	https://designmattersmedia.com/wp-json/wp/v2/pages/9	/Users/alfonso/websites/https://designmattersmedia.com/designmattersmedia.com/wp-json/wp/v2/pages/9.json	(from https://designmattersmedia.com/)
09:19:32	510038/510038	---MCZ	200	added ('OK')	application/json	date:Mon,%2023%20Mar%202026%2008:19:32%20GMT	https://designmattersmedia.com/wp-json/	/Users/alfonso/websites/https://designmattersmedia.com/designmattersmedia.com/wp-json/index.html	(from https://designmattersmedia.com/)
09:19:33	846/846	---MCZ	200	added ('OK')	text/xml	date:Mon,%2023%20Mar%202026%2008:19:32%20GMT	https://designmattersmedia.com/xmlrpc.php?rsd	/Users/alfonso/websites/https://designmattersmedia.com/designmattersmedia.com/xmlrpc0db0.php	(from https://designmattersmedia.com/)
09:19:33	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Mar%202026%2008:19:33%20GMT	https://designmattersmedia.com/&apos;https://designmattersmedia.com/wp-content/uploads/2025/01/about-bg@2x.png&apos;	/Users/alfonso/websites/https://designmattersmedia.com/designmattersmedia.com/&apos;https_/designmattersmedia.com/wp-content/uploads/2025/01/about-bg@2x.png&apos;	(from https://designmattersmedia.com/)
09:19:34	109156/109156	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Mar%202026%2008:19:34%20GMT	https://designmattersmedia.com/&apos;https:/designmattersmedia.com/wp-content/uploads/2025/01/about-bg@2x.png&apos	/Users/alfonso/websites/https://designmattersmedia.com/designmattersmedia.com/&apos;https_/designmattersmedia.com/wp-content/uploads/2025/01/about-bg@2x.png&apos	(from https://designmattersmedia.com/)
09:19:36	5053/5053	---MCZ	200	added ('OK')	application/javascript	etag:W/%2269ba8cfa-13bd%22	https://designmattersmedia.com/wp-content/plugins/gutenberg/build/scripts/hooks/index.min.js?ver=7496969728ca0f95732d	/Users/alfonso/websites/https://designmattersmedia.com/designmattersmedia.com/wp-content/plugins/gutenberg/build/scripts/hooks/index.min394d.js	(from https://designmattersmedia.com/)
09:19:37	5735/5735	---MCZ	200	added ('OK')	application/javascript	etag:W/%2269ba8cfa-1667%22	https://designmattersmedia.com/wp-content/plugins/gutenberg/build/scripts/i18n/index.min.js?ver=781d11515ad3d91786ec	/Users/alfonso/websites/https://designmattersmedia.com/designmattersmedia.com/wp-content/plugins/gutenberg/build/scripts/i18n/index.mineca5.js	(from https://designmattersmedia.com/)
09:19:38	6026/6026	---MCZ	200	added ('OK')	application/javascript	etag:W/%22699c30ac-178a%22	https://designmattersmedia.com/wp-content/plugins/jetpack/jetpack_vendor/automattic/jetpack-assets/build/i18n-loader.js?minify=true&ver=5ba5dddc04be2306aaf0	/Users/alfonso/websites/https://designmattersmedia.com/designmattersmedia.com/wp-content/plugins/jetpack/jetpack_vendor/automattic/jetpack-assets/build/i18n-loader1bbb.js	(from https://designmattersmedia.com/)
09:19:39	10373/10373	---MCZ	200	added ('OK')	application/javascript	etag:W/%2269ba8cfa-2885%22	https://designmattersmedia.com/wp-content/plugins/gutenberg/build/scripts/url/index.min.js?ver=bb0f766c3d2efe497871	/Users/alfonso/websites/https://designmattersmedia.com/designmattersmedia.com/wp-content/plugins/gutenberg/build/scripts/url/index.min3303.js	(from https://designmattersmedia.com/)
09:19:40	5632/5632	---MCZ	200	added ('OK')	application/javascript	etag:W/%2269aec7aa-1600%22	https://designmattersmedia.com/wp-content/plugins/jetpack/jetpack_vendor/automattic/jetpack-search/build/instant-search/jp-search.js?minify=false&ver=904682e550fefbe1827b	/Users/alfonso/websites/https://designmattersmedia.com/designmattersmedia.com/wp-content/plugins/jetpack/jetpack_vendor/automattic/jetpack-search/build/instant-search/jp-searcha46b.js	(from https://designmattersmedia.com/)
